date,dollar_volume_b,top3_share_pct,rise_pct,vix
2022-09-19,8.834324567044831,43.74960263323963,,25.760000228881836
2022-09-20,8.605905439095306,48.07950221305671,7.920792079207921,27.15999984741211
2022-09-21,11.856549546520233,47.49715714302153,4.9504950495049505,27.989999771118164
2022-09-22,10.592171359078598,48.10581077070898,28.71287128712871,27.350000381469727
2022-09-23,14.077947928121185,53.411986781424616,6.9306930693069315,29.920000076293945
2022-09-26,11.282492546805,46.779868401453164,9.900990099009901,32.2599983215332
2022-09-27,12.710820684495927,45.64439658345415,39.603960396039604,32.599998474121094
2022-09-28,12.691919802708245,46.602604230405184,95.04950495049505,30.18000030517578
2022-09-29,11.18295561620407,44.74529813942279,2.9702970297029703,31.84000015258789
2022-09-30,10.319817966184997,44.132069822812284,1.9801980198019802,31.6200008392334
2022-10-03,12.282394165545274,47.467034530930704,96.03960396039604,30.100000381469727
2022-10-04,13.498100096215058,45.15610916125701,100.0,29.06999969482422
2022-10-05,10.613646298522186,47.86091975789455,39.603960396039604,28.549999237060547
2022-10-06,11.049024032712556,45.43346813752725,16.831683168316832,30.520000457763672
2022-10-07,10.130160492643355,48.436957348070315,4.9504950495049505,31.360000610351562
2022-10-10,8.85893419317093,44.383112679980194,32.67326732673268,32.45000076293945
2022-10-11,10.771133616817092,46.354748355902046,40.5940594059406,33.630001068115234
2022-10-12,10.120435218482589,44.0654003643015,45.54455445544555,33.56999969482422
2022-10-13,17.507455429605486,44.753005289567305,97.02970297029702,31.940000534057617
2022-10-14,11.740985460303307,46.44479801275631,11.881188118811881,32.02000045776367
2022-10-17,9.222777396787643,44.51030647597937,96.03960396039604,31.3700008392334
2022-10-18,10.293654174290849,47.489816288794216,83.16831683168317,30.5
2022-10-19,9.122389771326064,51.69265924250546,29.7029702970297,30.760000228881836
2022-10-20,9.232353346850967,48.16830522473737,28.71287128712871,29.979999542236328
2022-10-21,11.303765958639907,45.26939282633518,93.06930693069307,29.690000534057617
2022-10-24,8.998213787475967,47.00191750266526,88.11881188118812,29.850000381469727
2022-10-25,8.422488583054351,43.93472273001663,87.12871287128714,28.459999084472656
2022-10-26,9.419737372532273,46.26117697668447,64.35643564356435,27.280000686645508
2022-10-27,9.469035601611328,47.74749358958294,51.48514851485149,27.389999389648438
2022-10-28,9.699857240501021,46.05442102389711,94.05940594059405,25.75
2022-10-31,9.851640027811051,51.594888681498844,20.792079207920793,25.8799991607666
2022-11-01,9.506308337073516,45.978627786888644,53.46534653465347,25.809999465942383
2022-11-02,14.25473521615181,41.21023048898999,8.91089108910891,25.860000610351562
2022-11-03,11.012334747344207,45.667762340871576,37.62376237623762,25.299999237060547
2022-11-04,11.263993158179856,46.88363715670225,88.11881188118812,24.549999237060547
2022-11-07,8.028862514440155,46.99636466428135,83.16831683168317,24.350000381469727
2022-11-08,9.30025257317505,47.541827076312074,82.17821782178217,25.540000915527344
2022-11-09,10.302603695941926,52.364541543451416,5.9405940594059405,26.09000015258789
2022-11-10,15.73319513865204,43.921681735877435,97.02970297029702,23.530000686645508
2022-11-11,11.67329951654892,46.495610226968395,69.3069306930693,22.520000457763672
2022-11-14,10.662101971955108,45.981772476086405,27.722772277227726,23.729999542236328
2022-11-15,11.530595347607422,48.40186709821129,77.22772277227723,24.540000915527344
2022-11-16,9.15492121880188,46.834615577028,28.71287128712871,24.110000610351562
2022-11-17,8.282641578050995,49.452233877909066,44.554455445544555,23.93000030517578
2022-11-18,8.750456496721648,51.08332912355004,69.3069306930693,23.1200008392334
2022-11-21,9.55140061273117,60.711672527354864,56.43564356435643,22.360000610351562
2022-11-22,7.892332370667648,55.385320994202516,89.10891089108911,21.290000915527344
2022-11-23,6.9856249180400845,51.996389915823606,75.24752475247524,20.350000381469727
2022-11-25,3.0629092296741485,50.63181235764508,67.32673267326733,20.5
2022-11-28,8.582594549650574,54.39257615782106,12.871287128712872,22.209999084472656
2022-11-29,7.48743548478508,48.062019607653355,50.495049504950494,21.889999389648438
2022-11-30,13.610860543551636,43.98391813729772,97.02970297029702,20.579999923706055
2022-12-01,12.071985702173615,49.51512862361883,49.504950495049506,19.84000015258789
2022-12-02,8.715291279738617,48.383850611959694,47.524752475247524,19.059999465942383
2022-12-05,10.134331460046768,51.83107233005686,3.9603960396039604,20.75
2022-12-06,10.061271815630722,54.25759474043777,16.831683168316832,22.170000076293945
2022-12-07,8.910749769045639,49.562537296058345,45.54455445544555,22.68000030517578
2022-12-08,8.374747924515152,56.49883042453718,70.29702970297029,22.290000915527344
2022-12-09,8.603495714098358,49.468644285527105,25.742574257425744,22.829999923706055
2022-12-12,9.345706858743668,56.91660159740892,95.04950495049505,25.0
2022-12-13,12.795248233630371,47.597452113297216,70.29702970297029,22.549999237060547
2022-12-14,12.405268942602158,45.803886279053216,31.683168316831683,21.139999389648438
2022-12-15,11.427549888546372,46.86687431075733,1.9801980198019802,22.829999923706055
2022-12-16,13.86139521916275,44.7630418073604,18.81188118811881,22.6200008392334
2022-12-19,7.993859016784668,46.328214662474096,23.762376237623762,22.420000076293945
2022-12-20,7.332669240912247,49.636340344461836,52.475247524752476,21.479999542236328
2022-12-21,7.636625238146591,45.49093325881451,93.06930693069307,20.06999969482422
2022-12-22,7.677867776189423,46.99216736880318,17.82178217821782,21.969999313354492
2022-12-23,5.266778102991867,46.99722583212824,86.13861386138613,20.8700008392334
2022-12-27,6.248289851459122,52.283229019848434,58.415841584158414,21.649999618530273
